Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR10889841,2023/8/19 9:13,2023/8/22 21:05,452280081,1.35684E+11,452280081,300,78834,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889841/ERR10889841.lite.1,ERX10333387,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,62639779D391775A313C88CFEF4D3478,527C0059ADC94855B367132FD60A52D4
ERR10889842,2023/8/19 9:13,2023/8/22 17:25,52521572,15756471600,52521572,300,8874,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889842/ERR10889842.lite.1,ERX10333388,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,71C9E50DA9F500E65E62C363E2BC2F34,453BF843903ECC781624C3AC834B43FE
ERR10889843,2023/8/19 9:13,2023/8/22 18:41,63196982,18959094600,63196982,300,10332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889843/ERR10889843.lite.1,ERX10333389,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,F41D1D60374BDB80965FB5ACE16952CF,E38872D0221B36D7B4B737FF72F6C7E8
ERR10889846,2023/8/19 9:13,2023/8/22 19:19,259658851,77897655300,259658851,300,25970,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889846/ERR10889846.lite.1,ERX10333392,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,107BA86CE8473B0745AA1514E353C90D,5404EC8876FDA93F5104B138AF91B039
ERR10889847,2023/8/19 9:13,2023/8/22 19:21,218280211,65484063300,218280211,300,22023,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889847/ERR10889847.lite.1,ERX10333393,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,D72AB451AF3FD43F99094D5ED3A8847E,4724B22D73BD4BBF6C9B73802100BFDC
ERR10889848,2023/8/19 9:13,2023/8/22 18:36,75208479,22562543700,75208479,300,12395,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889848/ERR10889848.lite.1,ERX10333394,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,34263D0C1CE18001CA5255FCD77B2B53,E039EB83A7D6606D64F8728A5959AE07
ERR10889849,2023/8/19 9:13,2023/8/22 18:29,52335206,15700561800,52335206,300,8716,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889849/ERR10889849.lite.1,ERX10333395,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,35F6CFF345A3A157C7BC9F9A31A2E13D,E03CC25FA8CD9DC44A98A316924FEEC8
ERR10889850,2023/8/19 9:13,2023/8/22 18:53,157287584,47186275200,157287584,300,17276,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889850/ERR10889850.lite.1,ERX10333396,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,E7A86250D34C82768C2CD265AD6C01CA,44CA582A87C1B33C346A69DF1BA23BA7
ERR10889851,2023/8/19 9:13,2023/8/22 19:00,122301578,36690473400,122301578,300,14042,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889851/ERR10889851.lite.1,ERX10333397,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,6043DDA2F1E60C867B19D71E8CC16F62,D57B4579AEBBB6200D43485981BC6CA5
ERR10889852,2023/8/19 9:13,2023/8/22 18:26,63551657,19065497100,63551657,300,10606,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889852/ERR10889852.lite.1,ERX10333398,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,B73EA3E5F663CB964EFE1B71A0D73ED9,9421AC24FE12AF9ABE3EF0DC374A39D9
ERR10889853,2023/8/19 9:13,2023/8/22 18:32,56575131,16972539300,56575131,300,9264,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889853/ERR10889853.lite.1,ERX10333399,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,A5366F20BF4B3FADD81A5FA6D9D41D3D,6AD02817C4022C7E5FB454B41B6B515E
ERR10889854,2023/8/19 9:13,2023/8/22 18:52,81245208,24373562400,81245208,300,14144,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889854/ERR10889854.lite.1,ERX10333400,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,EE081E7087EAE1C7944A52CBA5FDDE60,892E1D2E1F05AB8D78F82B4F4DBF4EEE
ERR10889855,2023/8/19 9:13,2023/8/22 18:40,59359643,17807892900,59359643,300,9663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889855/ERR10889855.lite.1,ERX10333401,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,FA7462A86C134F263216033593464398,A460202C0354FCF2F075AF92ED89B555
ERR11535564,2023/9/16 21:36,2023/10/26 16:32,18769154,5668284508,18769154,302,1884,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/ERR011/11535/ERR11535564/ERR11535564.lite.1,ERX10939669,eccDNA_Aan,OTHER,RANDOM,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148217,PRJEB63080,,996443,ERS15580228,SAMEA113585590,simple,35608,Artemisia annua,SAMEA113585590,,,,,,,no,,,,,TU DRESDEN,ERA23758953,,public,07A9C6E1C4860BFD45C1A4C602918D5B,4657D38DB6377BC3E8CABA2B327E0D45
ERR11535565,2023/9/16 21:36,2023/10/26 16:28,20200632,6100590864,20200632,302,2029,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/ERR011/11535/ERR11535565/ERR11535565.lite.1,ERX10939670,eccDNA_Aan_nc,OTHER,RANDOM,OTHER,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP148217,PRJEB63080,,996443,ERS15580228,SAMEA113585590,simple,35608,Artemisia annua,SAMEA113585590,,,,,,,no,,,,,TU DRESDEN,ERA23758953,,public,9679CB9DD38B4F37AF162FE1C9E0D79C,3DC556B4D67D656D69AC95F4781E7297
